,ID,Tweet,anger,disgust,fear,joy,love,optimism,pessimism,sadness,trust,neg,pos,label,message_processed,message_length
3236,2017-En-40133,Can I just sulk in peace ð,0,0,0,0,0,0,0,1,0,1,0,1,sulk peace,29
3237,2017-En-20635,Just #terrible from the cats there. Wow. #AFLCatsSwans,1,1,0,0,0,0,0,1,0,3,0,1,terrible cat wow aflcatsswans,54
3238,2017-En-20607,Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,1,1,0,0,0,0,0,1,0,3,0,1,wish rich didnt get morning poor sleepy restless sad needsmoresleep,102
3239,2017-En-20788,"@RoWillFindYou Eric couldn't help but laugh, though that made him wince in pain. It hurt. A lot. He just wanted to sit down somewhere â",0,1,0,0,0,0,1,1,0,3,0,1,eric help laugh though make wince pain hurt lot want sit somewhere,137
3240,2017-En-30047,Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran,0,0,0,1,0,1,0,0,0,0,2,0,good morning joyful people choose happiness great day today morning joyful happiness grandmercurejktkemayoran,124
3241,2017-En-30359,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning...  #books #reading,0,0,0,1,0,1,0,0,0,0,2,0,time hit library lovely pile book reservation collect morning book read,117
3243,2017-En-20624,petrify  me in the fossil type of way,0,0,1,0,0,0,0,0,0,1,0,1,petrify fossil type way,37
3244,2017-En-20898,Huns are like a box of coffee revels #horrible,1,1,0,0,0,0,0,0,0,2,0,1,hun like box coffee revel horrible,46
3245,2017-En-21721,@jk_rowling @Riverfeather207 Donald Trump in the White House ,0,0,0,0,0,0,0,0,0,0,0,0,donald trump white house,61
3246,2017-En-40354,@chelseafc let them know it's the #blues,0,0,0,0,0,0,0,1,0,1,0,1,let know blue,40
3248,2017-En-11501,dammit @TMobile whays going on!!! ð¤ð¤ð¤ð¤ lol  #smh #mobilefails,1,1,0,0,0,0,0,1,0,3,0,1,dammit whays go lol smh mobilefails,73
3249,2017-En-40965,"@JessiMcCree Gabriel would eventually start frowning, gaining conciousness. Which was apparently really painful by how tears formed in the--",0,0,0,0,0,0,0,1,0,1,0,1,gabriel would eventually start frown gain conciousness apparently really painful tear form,140
3250,2017-En-41083,"I know few will mourn the loss of Stitch's Great Escape, but...see, THIS is the kind of cost-cutting at parks I really don't care for.",0,1,0,0,0,0,0,0,0,1,0,1,know mourn loss stitch great escape see kind cost cutting park really care,134
3251,2017-En-30706,mirana told me to shut up when i was singing along to glee...,1,1,0,0,0,0,0,1,0,3,0,1,mirana tell shut sing along glee,61
3252,2017-En-11465,@RMCunliffe I don't read articles by people who rage about how horrible 'Cybernats' are. Got it?,1,1,0,0,0,0,0,0,0,2,0,1,read article people rage horrible cybernats get,96
3253,2017-En-21933,Another day Another flight ð  I swear my last ever @easyjet flight!!!! You take the LOVE out of flying #easyjet  #alwaysdelayed,1,1,0,0,0,0,0,0,0,2,0,1,another day another flight swear last ever flight take love fly easyjet alwaysdelayed,130
3254,2017-En-21530,"Ok this movie was good in it's time, and whilst we were young... ð Still enjoy a shy Ethan Hawk #BeforeSunrise",0,0,0,1,0,1,0,0,0,0,2,0,movie good time whilst young still enjoy shy ethan hawk beforesunrise,113
3255,2017-En-10821,GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED ,0,0,0,1,0,1,0,0,0,0,2,0,gameday buford today home never excite,71
3256,2017-En-11656,@KClarkSC2 @JohamasSC2 with their faggy colors are nice' is ok too. Even tho some might take offense because WORDS LOL.,0,0,0,1,0,1,0,0,0,0,2,0,faggy color nice even tho might take offense word lol,119
3257,2017-En-41449,"@stevierayrob Can Elliot Friedman please stop talking, you are clueless. You haven't seen the ball since the kickoff. #mope",1,1,0,0,0,0,0,0,0,2,0,1,elliot friedman please stop talk clueless see ball since kickoff mope,123
3258,2017-En-21419,I'm a shy person,0,0,0,0,0,0,0,1,0,1,0,1,shy person,16
3259,2017-En-11682,Like he really just fucking asked me that. ,1,1,0,0,0,0,1,0,0,3,0,1,like really fuck ask,43
3260,2017-En-21343,"God, I've been so physically weak the whole day. So much shaking :(",0,0,1,0,0,0,1,1,0,3,0,1,god physically weak whole day much shaking,67
3261,2017-En-20577,#WTF @NYSCHereToHelp @NYSC allows #gym #bully #atmosphere! #jumpship #nasty #atmosphere #unprofessional,1,1,0,0,0,0,1,0,0,3,0,1,wtf allow gym bully atmosphere jumpship nasty atmosphere unprofessional,103
3262,2017-En-21352,@dish_answers I've contacted @dish @dish_answers  #service #whathappenedtocustomerservice,1,1,0,0,0,0,0,0,0,2,0,1,contact service whathappenedtocustomerservice,89
3263,2017-En-41356,"Although this is my best semester so far, this is also my most depressing because I'm constantly reminded that I'm not meant for greatness",0,0,1,0,0,0,1,1,0,3,0,1,although best semester far also depress constantly remind meant greatness,138
3265,2017-En-40147,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,1,1,0,0,0,0,0,1,0,3,0,1,provide customer equipment deliver speed internet service charge unhappy scam,138
3266,2017-En-41107,Been sober for days lmao,0,0,0,1,0,1,0,0,0,0,2,0,sober day lmao,24
3267,2017-En-31047,â¨you make me happy @EthanDolan @GraysonDolanâ¨,0,0,0,1,1,1,0,0,0,0,3,0,make happy,49
3268,2017-En-11275,@bt_uk broadband is shocking regretting signing up now  #shouldofgonewithvirgin,0,1,0,0,0,0,0,0,0,1,0,1,broadband shock regret sign shouldofgonewithvirgin,79
3269,2017-En-11426,I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,1,1,0,0,0,0,1,1,0,4,0,1,see end nin bitter tragedy give spend nand give nothing back,125
3270,2017-En-10164,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",1,1,0,0,0,0,0,1,0,3,0,1,black people still fight recognize human being cantsleep,86
3271,2017-En-31016,@daveweigel a laurel and hearty handshake,0,0,0,1,0,1,0,0,0,0,2,0,laurel hearty handshake,41
3272,2017-En-10872,"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",1,1,0,0,0,0,0,0,0,2,0,1,ding wear look man find arch enemy bed missus angryman,113
3273,2017-En-30179,"if you ain't watching Sugarboy on Hulu, then you ain't shit. #hilarious hahaha",0,0,0,1,0,1,0,0,0,0,2,0,watch sugarboy hulu shit hilarious hahaha,78
3275,2017-En-21730,Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. #nightmare,0,0,1,0,0,0,0,0,0,1,0,1,edit father bride speech minute tell wrap go minute nightmare,125
3276,2017-En-20963,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad ,0,1,0,0,0,0,0,0,0,1,0,1,get see texastech play tonight texan tnf texansarebad,82
3277,2017-En-40305,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive,0,0,1,0,0,0,0,1,0,2,0,1,know much mind find clean stove kitchen almost pensive,123
3278,2017-En-30739,"@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? ",0,0,0,0,0,0,1,1,0,2,0,1,go away want see hurt change heart mind really option,128
3279,2017-En-20485,@davidhiggerson Can understand fear factor but why support a company that wants to reduce your own to status of a needy satellite..,0,0,0,0,0,0,0,0,0,0,0,0,understand fear factor support company want reduce status needy satellite,131
3280,2017-En-20399,PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story. #shocking #CharlotteProtest #CharlotteRiot,1,1,0,0,0,0,0,0,0,2,0,1,pastor foot away shoot victim protest say skeptical official story shock charlotteprotest charlotteriot,140
3281,2017-En-41442,im having the worst week ever and i cant even go home yet to just sulk in my bed,0,0,0,0,0,0,1,1,0,2,0,1,bad week ever cant even home yet sulk bed,80
3282,2017-En-40456,@rickygervais my first time in Slough so checked out the new station floor #sad #LifeOnTheRoad,0,0,0,0,0,0,0,1,0,1,0,1,first time slough check new station floor sad lifeontheroad,94
3284,2017-En-20298,"@JennyPGR I worry about typos in any email to Simon, draft attached or not...",0,0,1,0,0,0,0,1,0,2,0,1,worry typo email simon draft attach,77
3285,2017-En-31568,@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots ððððððððð #chapter22 #bdaygirl  #love,0,0,0,1,1,0,0,0,0,0,2,0,happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love lot chapter bdaygirl love,160
3287,2017-En-31341,Lets get this Astros/A's game going already!  We're going to need all 5 of you in attendance to cheer the A's to victory!,0,0,0,1,0,0,0,0,0,0,1,0,let get astros game go already go need attendance cheer victory,121
3288,2017-En-21381,I went to this sushi spot &amp; they had tobi &amp; an ANBU mask hung on the wall behind them. I will start going there even tho I don't eat seafood,0,0,0,1,0,1,0,0,0,0,2,0,go sushi spot tobi anbu mask hung wall behind start go even tho eat seafood,148
3293,2017-En-40014,A night where depression is winning... #depression #fml #help,0,0,1,0,0,0,0,1,0,2,0,1,night depression win depression fml help,61
3294,2017-En-11638,Just love Matthew Parris! Political rage is good!,0,0,0,0,1,1,0,0,0,0,2,0,love matthew parris political rage good,49
3295,2017-En-30909,@GOT7Official @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7  #birthday,0,0,0,1,1,0,0,0,0,0,2,0,happy birthday jin young princejinyoungday happyjinyoungday get birthday,105
3296,2017-En-10653,"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",1,0,0,0,0,0,0,0,0,1,0,1,hurt much eat read somewhere marshmallow good soft irritate,120
3297,2017-En-40411,@EmotionalLimine you're sadly mistaken if you think I'd make a tweet for an isolated comment by a random twitter user.,1,1,0,0,0,0,0,1,0,3,0,1,sadly mistaken think make tweet isolated comment random twitter user,118
3298,2017-En-21586,These mets know how to give someone anxiety #mets #lgm #anxiety @mets,0,1,1,0,0,0,0,0,0,2,0,1,mets know give someone anxiety mets lgm anxiety,69
3299,2017-En-10612,Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,1,1,0,0,0,0,0,0,0,2,0,1,offend lie alexandria goddard mean deric friend anything else purely fishin expedition,137
3301,2017-En-31266,@sophieRblake @SkySpeedway @Kelvin_Tatum @chrislouisIWSC no wonder Kelvin and Chris are smiling! ð,0,0,0,1,1,1,0,0,0,0,3,0,wonder kelvin chris smile,101
3302,2017-En-10814,So Rangers v Celtic ll ,0,0,0,1,0,0,0,0,0,0,1,0,ranger celtic,23
3303,2017-En-21277,Plus why did I have a baby 4 days before Christmas this is gonna haunt me forever!!!,1,0,1,0,0,0,0,1,0,3,0,1,plus baby day christmas gon haunt forever,84
3304,2017-En-40173,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad",0,0,0,0,0,0,1,1,0,2,0,1,terencecutcher tulsa man onthe helicopter say look like bad dude problem see black see bad sad,138
3305,2017-En-10688,@Kim_is__bored exactly what I have been saying on fb.. ,0,1,0,0,0,0,1,1,0,3,0,1,exactly say,55
3306,2017-En-30000,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious,0,0,0,1,0,1,0,0,0,0,2,0,get back see burslem amaze face still hurt laugh much hilarious,110
3307,2017-En-10333,"@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --",1,1,0,0,0,0,0,0,0,2,0,1,timid determine version rabid beasts beyond land growl beneath restrain breath rip,140
3308,2017-En-31039,"ðWhen #life shows you have a hundred reasons to cry, show it that you have a hundred and one reasons to #smile. ð #quotes @Mind_Console",0,0,0,0,0,1,0,0,0,0,1,0,life show hundred reason cry show hundred one reason smile quote,141
3309,2017-En-20804,@StephenKing\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n #Trump  #scifi #ccot #p2,1,1,0,0,0,0,0,0,0,2,0,1,nstephen king never speak left crush freespeech publish world trump scifi ccot,138
3310,2017-En-31142,"How wonderful to see a show with a token man for once! #GlasgowGirls was uproarious, gleeful, important &amp; uplifting. Go see @stratfordeast!",0,0,0,1,0,0,0,0,0,0,1,0,wonderful see show token man glasgowgirls uproarious gleeful important uplifting see,143
3311,2017-En-21827,"@CGasparino Give it up Gas, I don't hate u, I just don't respect ur rudeness. ",1,1,0,0,0,0,0,1,0,3,0,1,give gas hate respect rudeness,78
3312,2017-En-21377,The majority of my clients have family/ partner/ day job/ life AND write their beautiful books.  #gratitude #HARDwork,0,0,0,1,0,1,0,0,0,0,2,0,majority client family partner day job life write beautiful book gratitude hardwork,117
3313,2017-En-40777,@EBled2 Great to have you as our tournament chair and award was #serious,0,0,0,1,0,0,0,0,0,0,1,0,great tournament chair award serious,72
3314,2017-En-30182,@R1Breakfast Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning ððð @grimmers @fionaradio @TinaDaheley,0,0,0,1,0,1,0,0,0,0,2,0,tote listen endless hilarity tom odell raaar morning,149
3315,2017-En-20303,Today has dragged on #restless,1,1,1,0,0,0,1,1,0,5,0,1,today drag restless,30
3316,2017-En-10962,Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,1,1,0,0,0,0,0,1,0,3,0,1,yay bmth cancel melbourne show fanfuckingtastic lose day pay hotel fee happy atm sad,105
3318,2017-En-41433,@metalAndTheGeek @astoldbyfANGIRL SAME! I always say it was the best time of my life. I closed my store down and it was so depressing,0,0,0,0,0,0,0,1,0,1,0,1,always say best time life close store depressing,133
3319,2017-En-40410,@ReserveHinata tend to them he's going to get infections. \n\nHe's frowning and looking down as he does this. \nIt must hurt damn.],1,1,0,0,0,0,0,1,0,3,0,1,tend go get infection nhe frown look nit must hurt damn,131
3320,2017-En-20235,"@jk_rowling never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump #nightmare",1,1,1,0,0,0,0,0,0,3,0,1,never think angry oompa loompa would boggart boggart presidenttrump nightmare,127
3321,2017-En-40393,@KristenWACamera I really enjoyed both episodes. I had a bit of a gloomy day today but I feel a sense of inspiration from listening.,0,0,0,1,1,1,0,0,0,0,3,0,really enjoy episode bite gloomy day today feel sense inspiration listen,132
3322,2017-En-31168,"The book that can start improving your relationship tonight.  Taking you on a journey of #fun, #laughter, #romance and #metaphysics.  httâ¦",0,0,0,1,1,1,0,0,0,0,3,0,book start improve relationship tonight take journey fun laughter romance metaphysics htt,140
3323,2017-En-20561,Going to get myself a copy of @StephenKing's CUJO for an upcoming project that I can't talk about just yet. #horror #amwriting,0,0,1,0,0,0,0,0,0,1,0,1,go get copy cujo upcoming project talk yet horror amwriting,126
3325,2017-En-10189,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,1,1,1,0,0,0,0,0,0,3,0,1,hell break loose charlotte charlotteprotest looting,68
3326,2017-En-41475,How long will they mourn me?,0,0,0,0,0,0,1,1,0,2,0,1,long mourn,28
3327,2017-En-31396,Melissa Benoist and Grant Gustin HAVE to do a musical crossover episode! #glee origins #arrowverse,0,0,0,1,0,1,0,0,0,0,2,0,melissa benoist grant gustin musical crossover episode glee origins arrowverse,98
3328,2017-En-30032,LOVE LOVE LOVE  #fun #relaxationiskey,0,0,0,1,1,0,0,0,0,0,2,0,love love love fun relaxationiskey,37
3329,2017-En-40063,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get",0,0,0,0,0,0,1,1,0,2,0,1,though lately bad depression feel like body like take little get,124
3330,2017-En-41095,"@JBoughton93 he might donate the money but it won't stop shit, pessimist",1,1,0,0,0,0,1,0,0,3,0,1,might donate money stop shit pessimist,72
3331,2017-En-10019,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,1,1,0,0,0,0,0,1,0,3,0,1,block everyone everywhere post storm think everyone aware damn rain quit damn,135
3332,2017-En-30570,"every time a new Anthony Weiner revelation breaks, Bill Clinton says a prayer of thanks that texting/DMing didn't exist in his heyday.",0,1,0,0,0,0,0,0,0,1,0,1,every time new anthony weiner revelation break bill clinton say prayer thanks texting dming exist heyday,134
3333,2017-En-11007,After what just happened. In need to smoke. #burning,1,1,0,0,0,0,0,1,0,3,0,1,happen need smoke burn,52
3334,2017-En-20200,@katlute which one....the one where u threaten violence? Or the phedophiliac u support?  Or the constitution violations he proposes?,1,1,1,0,0,0,0,0,0,3,0,1,one one threaten violence phedophiliac support constitution violation proposes,132
3336,2017-En-31591,#LethalWeapon A suicidal Vet with PTSD... so FUCKING FUNNY.... let the hilarity begin...,0,0,0,1,0,0,0,0,0,0,1,0,lethalweapon suicidal vet ptsd fuck funny let hilarity begin,88
3337,2017-En-10077,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",1,1,0,0,0,0,0,1,0,3,0,1,fuck suppose lunch dinner money work furious hangry day,111
3338,2017-En-10692,Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,0,0,0,0,0,1,0,0,0,0,1,0,sorry burst bubble century anymore welcome century,90
3339,2017-En-41381,"@ImNotInfected â rather someone that could help her. Concern clouded her green eyes, not once having seen a girl alone in the woods and â",0,0,1,0,0,0,0,1,0,2,0,1,rather someone could help concern cloud green eye see girl alone wood,141
3340,2017-En-20115,@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,0,0,1,0,0,0,1,1,0,3,0,1,shy irl lately feel like everyone thing fit anywhere feel lonely,134
3341,2017-En-30542,"You know, you're pro-actively playful. You want to press your boobs into my face, Tatenashi. I'm not saying no, though. =3",0,0,0,1,0,0,0,0,0,0,1,0,know pro actively playful want press boob face tatenashi say though,122
3342,2017-En-10222,@judy_that Im honestly offended,1,1,0,0,0,0,0,1,0,3,0,1,honestly offend,31
3343,2017-En-40168,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,0,0,0,0,0,0,1,1,0,2,0,1,watch favorite youtubers month honestly make depression much bad,100
3344,2017-En-21929,I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind,1,1,0,0,0,0,0,0,0,2,0,1,go make life mission discourage anyone use rob blind,108
3345,2017-En-30611,Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy #rejoice,0,0,0,1,0,1,0,0,1,0,3,0,misery love company church ought place find none pastor kris theobald joy rejoice,110
3346,2017-En-41065,My cell won't hold a charge ð¢ #sadness So should I...,0,0,0,0,0,0,1,1,0,2,0,1,cell hold charge sadness,56
3347,2017-En-20299,@NinjaWorrier @ali_zimmer @m_pattison How long ago was that? (I shudder to think.),0,1,1,0,0,0,0,0,0,2,0,1,long ago shudder think,82
3348,2017-En-10352,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. ",1,1,0,0,0,0,0,0,0,2,0,1,smh remove ideologically bankrupt opportunistic establishment burning bridge social contract,134
3349,2017-En-30045,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling,0,0,0,1,0,1,0,0,0,0,2,0,great time skywalkers open gym tonight come every wednesday hillsboro train opengym cheer tumble,140
3350,2017-En-30392,"@bijayjanand\nIt's not just a treat for viewers to watch u as janak, it's simply a treat for our soul, mind, thoughts. #hearty respect ðð",0,0,0,1,1,1,0,0,0,0,3,0,nit treat viewer watch janak simply treat soul mind thought hearty respect,143
3351,2017-En-11614,@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.,1,1,0,0,0,0,1,0,0,3,0,1,well cucks among rank agree equally outrage black youth shoot harambe,125
3352,2017-En-30564,"My two older boys were elated, my toddler was terrified. I have pics of his poor little face peeping through the hole in the basket.",0,0,1,0,0,0,1,0,0,2,0,1,two old boy elate toddler terrify pic poor little face peep hole basket,132
3353,2017-En-40813,This shit hurting my heart ðª that's how serious it is .,1,0,0,0,0,0,0,1,0,2,0,1,shit hurt heart serious,58
3354,2017-En-11408,@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin ,0,1,0,0,0,0,0,0,0,1,0,1,offer gold silver say nah bitcoin,98
3355,2017-En-30819,Quinn's short hair makes me sad. #glee,0,0,0,0,0,0,0,1,0,1,0,1,quinn short hair make sad glee,38
3356,2017-En-31601,"@Senpai_Vanilla This would be the height of hilarity, were it not for the fact that the adult swan is highly likely to attack.",0,0,0,1,0,0,0,0,0,0,1,0,would height hilarity fact adult swan highly likely attack,126
3357,2017-En-20189,"bad news fam, life is still hard and awful #depression  #atleastIhaveBuffy",0,0,1,0,0,0,1,1,0,3,0,1,bad news fam life still hard awful depression atleastihavebuffy,74
3359,2017-En-21690,@abbeygray14 they're revolting,1,1,0,0,0,0,0,1,0,3,0,1,revolt,30
3360,2017-En-30970,@jpodhoretz I still respect you. I suppose there is so little to be gleeful about these days so take what you can. Good for you.,0,0,0,1,0,1,0,0,1,0,3,0,still respect suppose little gleeful day take good,128
3361,2017-En-40155,I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),1,1,0,0,0,0,0,1,0,3,0,1,dark room minute fail every time try develop photo frustrate,120
3362,2017-En-30364,"Another joyful encounter in Tribez &amp; Castlez! I just met Mouchole, Ogre Cook! Do you want to know who that is? Download the game and find...",0,0,0,1,0,1,0,0,0,0,2,0,another joyful encounter tribez castlez meet mouchole ogre cook want know download game find,144
3363,2017-En-20228,We ashamed of being an ally to you. Pakistan sacrificed almost 50000 civilians by siding you in war on #terror @JudgeTedPoe,1,0,1,0,0,0,0,0,0,2,0,1,ashamed ally pakistan sacrifice almost civilian side war terror,123
3364,2017-En-30892,Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138,0,0,0,1,0,0,0,0,0,0,1,0,sioux valley win home competitive cheer invite score dell rapid second,98
3365,2017-En-30914,#twd comes on soon #happy,0,0,0,1,0,0,0,0,0,0,1,0,twd come soon happy,25
3366,2017-En-41278,Interesting topic this evening...  sadness &amp; low mood. #MHChat,0,0,0,0,0,0,0,1,0,1,0,1,interest topic even sadness low mood mhchat,66
3367,2017-En-21561,Yeah! Tonight it's time for the #weekend #mix @WildFM with @djkeanu and @RickWaltmann set your #alarm for 8pm #house #deephouse #ibiza,0,0,0,1,0,0,0,0,0,0,1,0,yeah tonight time weekend mix set alarm house deephouse ibiza,134
3370,2017-En-20800,"Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans ",1,1,1,0,0,0,0,1,0,4,0,1,texan play horrible bad play call bad protection ball bad coach bad defense bad overall performance texan,131
3371,2017-En-21311,@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! ,0,0,0,1,0,1,0,0,0,0,2,0,ill vip ticket wait meet never meet famous person admire,114
3372,2017-En-11435,Fear the fearsome fury of the forest fawn!,1,0,1,0,0,0,0,0,0,2,0,1,fear fearsome fury forest fawn,42
3373,2017-En-21830,We Are Source!!\n\n #mindset #philosophy #thoughtsbecomethings #news #lifehacks  #you #LIFE #PleaseRT #ProblemSolving,0,0,0,0,0,1,0,0,0,0,1,0,source mindset philosophy thoughtsbecomethings news lifehack life pleasert problemsolving,117
3374,2017-En-30849,"it gets better. without explanation; you just wake up one morning and youâre just happy, totally and utterly elated.",0,0,0,1,0,1,0,0,0,0,2,0,get well without explanation wake one morning happy totally utterly elate,118
3375,2017-En-11495,#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears   #O,0,0,1,0,0,0,0,1,0,2,0,1,pain aspect human evolution evolution consciousness attachment desire apathy sentimentality tear,129
3376,2017-En-41148,Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues,0,1,0,0,0,0,0,1,0,2,0,1,henderson show time hard leave go miss aflcatsswans seenitbefore lion blue,110
3377,2017-En-10234,Bloody parking ticket ðð¸ ,1,1,0,0,0,0,0,0,0,2,0,1,bloody park ticket,31
3378,2017-En-10339,@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?ð¤,1,0,1,0,0,0,0,1,0,3,0,1,happen suicide tweet joke obviously could offend anyone,106
3379,2017-En-20394,"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, #shy",0,0,1,0,0,0,1,0,0,2,0,1,hmm know many short confidence wish one shy,95
3380,2017-En-30918,Gemma Simmons is the bright spot of the premiere so far. #AgentsofSHIELD,0,0,0,1,0,1,0,0,1,0,3,0,gemma simmons bright spot premiere far agentsofshield,72
3381,2017-En-40054,@Hayles_101 The three R's depress me.,0,0,0,0,0,0,0,1,0,1,0,1,three depress,37
3382,2017-En-20816,@clairepilkingt2 oh god no that's awful mine don't last that long thank god. Thank you\n Xx,0,0,0,1,0,1,0,0,0,0,2,0,god awful mine last long thank god thank,91
3383,2017-En-31099,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #MPN #DemiLovato,0,0,0,1,1,1,0,0,0,0,3,0,thenicebot wsjnordics make world joyful place thenicebot mpn demilovato,91
3384,2017-En-21540,@virginmedia shocking service for your call centre staff this evening. Transfer me and cut me off after waiting forever to speak to someone.,1,1,0,0,0,0,0,0,0,2,0,1,shock service call centre staff even transfer cut wait forever speak someone,140
3385,2017-En-40405,Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.,0,0,0,0,0,0,0,0,0,0,0,0,bare video online anyone get rehabilitate anyone actually get help affliction jut get twitter video,138
3386,2017-En-40217,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober,0,0,1,0,0,0,0,1,0,2,0,1,eat way sobriety hell journey back sober,89
3387,2017-En-11669,"i swear to god the worst drug is loving someone. physical withdrawals aren't that bad, emotional withdrawals sting a little more",0,0,0,0,0,0,1,1,0,2,0,1,swear god bad drug love someone physical withdrawal bad emotional withdrawal sting little,128
3388,2017-En-40094,Back in Cardiff after an amazing 10 days away ð­ #depressing,0,0,0,0,0,0,1,1,0,2,0,1,back cardiff amazing day away depress,62
3389,2017-En-40601,Bro Why pine green forget me nots are mediumpurple pickering is not lit and so on,0,0,0,0,0,0,0,0,0,0,0,0,bro pine green forget nots mediumpurple pickering lit,81
3390,2017-En-41164,I want to pour all my tears on someone right now. So tired of this #upset ,0,0,0,0,0,0,1,1,0,2,0,1,want pour tear someone right tire upset,74
3391,2017-En-20162,onus is on Pakistan' : MEAIndia after #Uri #terror attack,1,0,1,0,0,0,0,0,0,2,0,1,onus pakistan meaindia uri terror attack,57
3392,2017-En-21326,"Shame on you @SkyNews showing an elephant being hunted and killed, #shocking",1,1,0,0,0,0,0,1,0,3,0,1,shame show elephant hunt kill shock,76
3394,2017-En-30615,Do not truck the delight; delight the truck.,0,0,0,1,0,1,0,0,0,0,2,0,truck delight delight truck,44
3395,2017-En-40918,The pine colada starburst nasty. Don't @ me,1,1,0,0,0,0,0,0,0,2,0,1,pine colada starburst nasty,43
3396,2017-En-30273,Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*,0,0,0,1,0,0,0,0,0,0,1,0,watch avatar wonder take long watch collapse joyous heap,91
3398,2017-En-30660,Question for all the cheerleaders who ages out!!\nHow to I make my senior year of cheer more memorable,0,0,0,1,0,0,0,0,0,0,1,0,question cheerleader age nhow make senior year cheer memorable,102
3399,2017-En-30017,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling,0,0,0,1,1,1,0,0,0,0,3,0,day gopackgo day gogipego excite smile,80
